541,BİN ADALAR SOS ,THOUSAND ISLAND SAUCE ,THOUSAND ISLAND SOβE ,"СОУС ""1000 ОСТРОВОВ""",0,0,0,0
542,VİNİGRET  SOS,VINAGRETTE SAUCE ,VINEGRAT SOβE,СОУС ВИНЕГРЕТ ,0,0,0,0
543,YAYLA SOS,YOGHURT SAUCE WITH DILL,JOGHURT SOβE MIT DILL,ЙОГУРТОВЫЙ СОУС C УКРОПОМ,0,0,0,0
544,YOĞURT SOS,YOGURT SAUCE,JOGHURT SOβE,ЙОГУРТОВЫЙ СОУС,0,0,0,0
545,ZEYTİN YAĞI,OLIVE OIL,OLIVENÖL,ОЛИВКОВОЕ МАСЛО,0,0,0,0
546,MAYONEZ,MAYONNAISE,MAYONNAISE,МАЙОНЕЗ,0,0,0,0
547,KETÇAP,KETCHUP,KETCHAP,КЕТЧУП,0,0,0,0
548,NAPOLITAN SOS,NEAPOLITAN SAUCE,NEAPOLITAN SOβE,СОУС НАПОЛИТАН,0,0,0,0
549,BOLONEZ SOS,BOLOGNESE SAUCE,BOLOGNESE SOβE,СОУС БОЛОНЬЕЗ,0,0,0,0
550,MİLANEZ SOS,MILANESE SAUCE,MILANESE SOβE,СОУС МИЛАНЕСЕ,0,0,0,0
551,KARBONARA SOS,CARBONARA SAUCE,CARBONARA SOβE,СОУС КАРБОНАРА,0,0,0,0
552,SOYA SOS,SOYA SAUCE,SOJABOHNE SOβE ,СОЕВЫЙ СОУС  ,0,0,0,0
553,KÖZ PATLICAN SOS,ROASTED AUBERGINE WITH SAUCE,GEBRATENE AUBERGINESOSSE,СОУС ДЛЯ БАКЛАЖАНОВ НА УГЛЯХ,0,0,0,0
554,PİDELER,,,,0,0,0,0
555,ETLİ PİDE,FLAT BREAD WITH  MEAT,FLATEDBROT MIT HACKFLEISCH,ЛЕПЁШКА  С ФАРШИРОВАННЫМ МЯСОМ ,0,0,0,0
556,ISPANAKLI PİDE,FLAT BREAD WITH SPINACH,FLADENBROT MIT SPINAT,ЛЕПЁШКА СО ШПИНАТОМ ,0,0,0,0
557,KAŞARLI PİDE,FLAT BREAD WITH YELLOW CHEESE,FLADENBROT MIT KÄSE,ЛЕПЁШКА С СЫРОМ,0,0,0,0
558,KIYMALI PİDE,FLAT BREAD WITH MINCED MEAT,FLADENBROT MIT HACKFLEISCH ,ЛЕПЁШКА С ФАРШИРОВАННЫМ МЯСОМ ,0,0,0,0
559,KUŞBAŞILI PİDE,FLAT BREAD WITH MEAT,FLADENBROT MIT FLEISCH,ЛЕПЁШКА  С МЯСОМ ,0,0,0,0
560,PATATESLİ PİDE,FLAT BREAD WITH POTATO,FLADENBROT MIT KARTOFFEL,ЛЕПЁШКА С КАРТОФЕЛЕМ,0,0,0,0
561,SEBZELİ PİDE,FLAT BREAD WITH VEGETABLE,FLADENBROT MIT GEMÜSE,ЛЕПЁШКА  С ОВОЩАМИ,0,0,0,0
562,SUCUKLU PİDE,FLAT BREAD WITH TURKISH SAUSAGE,FLADENBROT MIT TURKISCHE WURST,ЛЕПЁШКА  С КОПЧЁНОЙ КОЛБАСОЙ,0,0,0,0
563,TAVUKLU PİDE,FLAT BREAD WITH CHICKEN,FLADENBROT MIT HÄHNCHEN,ЛЕПЁШКА С КУРИЦЕЙ,0,0,0,0
564,DENİZ MAHSÜLLERİ PİDE,FLAT BREAD WITH SEAFOOD ,FLADENBROT MIT MEERFRUCHTE,ЛЕПЁШКА С МОРЕПРОДУКТАМИ,0,0,0,0
565,BEYAZ PEYNİRLİ PİDE,FLAT BREAD WITH WHITE CHEESE,FLADENBROT MIT KÄSE,ЛЕПЁШКА С СЫРОМ ФЕТА,0,0,0,0
566,YUMURTALI PİDE,FLAT BREAD WITH EGG,FLADENBROT MIT EI,ЛЕПЁШКА  С  ЯЙЦАMИ,0,0,0,0
567,LOR PEYNİRLİ PİDE,FLAT BREAD WITH WHITE CHEESE,FLADENBROT MIT KÄSE,ЛЕПЁШКА С ТВОРОГОМ,0,0,0,0
568,EKMEKLER,BREAD, BROT,ХЛЕБ,0,0,0,0
569,CROISANT,CROISSANT,CROISANT,КРУАССАНЫ,0,0,0,0
570,ÇAVDAR EKMEĞİ,RYE BREAD,ROGGENMISCH BROT,РЖАНОЙ ХЛЕБ,0,0,0,0
571,MISIR EKMEĞİ,CORN BREAD,MAIS BROT,КУКУРУЗНЫЙ ХЛЕБ,0,0,0,0
572,ROLL EKMEK,ROLL,ROLL,БУЛОЧКИ,0,0,0,0
573,SARIMSAKLI EKMEK,GARLIC BREAD,BROT MIT KNOBLAUCH,ХЛЕБ С ЧЕСНОКОМ,0,0,0,0
574,SİMİT,BREAD RING WITH SESAME SEEDS,SESAM KRINGEL,БУБЛИК,0,0,0,0
575,SOĞANLI EKMEK,ONION BREAD,BROT MIT ZWIEBEL,ХЛЕБ С ЛУКОМ,0,0,0,0
576,TIRNAK EKMEK,TURKISH FLAT BREAD,TURKISCHES FLADENBROT,ТУРЕЦКИЙ ПИДЕ,0,0,0,0
577,TOST EKMEĞİ,TOAST,TOAST BROT,ТОСТ,0,0,0,0
578,TÜRK EKMEĞİ,TURKISH BREAD,TÜRKISCHES BROT,ТУРЕЦКИЙ ХЛЕБ,0,0,0,0
579,KAHVALTILIKLAR,,,ЗАВТРАК,0,0,0,0
580,5 DK YUMURTA,BOILED EGGS 5. MIN.,GEKOCHTES EI 5 MIN,ЯЙЦО 5 МИН. ПРИГОТОВЛЕНИЯ,0,0,0,0
581,5 DK.HAŞLANMIŞ YUMURTA,BOILED EGGS 5 MIN.,GEKOCHTES EI 5 MIN,ОТВАРНОЕ  ЯЙЦО 5 МИН. ПРИГОТОВЛЕНИЯ,0,0,0,0
582,ARMUT KOMPOSTO,PEAR COMPOTE,BIRNEN KOMPOTT,ГРУШЕВЫЙ КОМПОТ,0,0,0,0
583,BAL ,HONEY,HONIG,МЁД,0,0,0,0
584,BALLI YOĞURT,YOGHURT WITH HONEY,JOGHURT MIT HONIG,ЙОГУРТ С МЁДОМ,0,0,0,0
585,BİBER,PEPPER,PFEFFER,ПЕРЕЦ,0,0,0,0
586,COCKTAIL ZEYTİN,STUFFED OLIVE,GEFÜLLTE OLIVE,ОЛИВКОВЫЙ КОКТЕЙЛЬ,0,0,0,0
587,ÇİKOLATA,CHOCOLATE,SCHOKOLADE,ШОКОЛАД,0,0,0,0
588,ÇİLEK REÇELİ,STRAWBERRY JAM,ERDBEEREN MARMELADE,КЛУБНИЧНОЕ ВАРЁНЬЕ,0,0,0,0
589,ÇİZİK ZEYTİN,GREEN OLIVE,GRUNE OLIVE,ЗЕЛЕНЫЕ МАСЛИНЫ,0,0,0,0
590,DOMATES ,TOMATO,TOMATEN ,ПОМИДОР,0,0,0,0
591,ELMA COMPOSTO,APPLE COMPOTE,APFELKOMPOTT,ЯБЛОЧНЫЙ КОМПОТ,0,0,0,0
